WikidataID,isSub,Label
Q1071027,X,additionalName
Q56061,,AdministrativeArea
Q447877,,alumniOf
Q211198,,audience
Q482980,,author
Q47223,,birthDate
Q431289,,brand
Q30022,,CafeOrCoffeeShop
Q171318,X,children
Q16970,,Church
Q515,,City
Q1751358,,colleague
Q17537576,,CreativeWork
Q1202197,X,deathDate
Q18658526,,deathPlace
Q1780466,X,description
Q9158,,email
Q101352,,familyName
Q48264,,gender
Q202444,,givenName
Q478798,,ImageObject
Q666791,,legalName
Q2221906,X,location
Q1886349,,logo
Q82799,,name
Q43229,,Organization
Q215627,,Person
Q125191,,Photograph
Q2221906,,Place
Q1370598,,PlaceOfWorship
Q35120,,Thing
Q42253,,url
Q2319042,,vatID
Q36774,,WebPage
